회원ID,매칭 횟수,매칭 점수
M001,1,0.7
M001,2,0.6184924648634345
M001,3,0.6845665453033818
M001,4,0.6112680754974293
M001,5,0.6994769543265075
M002,1,0.7
M002,2,0.7937751544414563
M002,3,0.8749397980136264
M002,4,0.9658620884106044
M002,5,1.0
M003,1,0.7
M003,2,0.6137494152291489
M003,3,0.552804632241499
M003,4,0.5
M003,5,0.5596105676067549
M004,1,0.7
M004,2,0.7917694108892778
M004,3,0.6965119071937511
M004,4,0.6073313208672175
M004,5,0.6814072018919325
M005,1,0.7
M005,2,0.6186334005610992
M005,3,0.7076243605358168
M005,4,0.7783376824822849
M005,5,0.8651972298944219
M006,1,0.7
M006,2,0.6144918184706027
M006,3,0.6663956888051759
M006,4,0.764240969630958
M006,5,0.8347270395581528
M007,1,0.7
M007,2,0.7950990242101897
M007,3,0.8608079251987909
M007,4,0.7650822040750335
M007,5,0.8219403305420555
M008,1,0.7
M008,2,0.7615610770655521
M008,3,0.6995238154831209
M008,4,0.6069793757447498
M008,5,0.6758908739821465
M009,1,0.7
M009,2,0.6068731092903851
M009,3,0.5549686241459948
M009,4,0.5039857356145907
M009,5,0.5
M010,1,0.7
M010,2,0.6167779064759584
M010,3,0.6764483419922334
M010,4,0.7683913290931703
M010,5,0.8541712844838937
