iter,e2e_ms,ui_srt_ms,server_srt_ms
1,3865,57,
2,854,68,
3,854,59,
4,848,49,
5,954,72,
6,922,81,
7,983,68,
8,893,85,
9,956,70,
10,839,84,
11,955,65,
12,973,78,
13,923,83,
14,819,53,
15,941,77,
16,1103,69,
17,992,72,
18,984,66,
19,1608,81,
20,934,76,
21,999,87,
22,985,70,
23,938,78,
24,993,69,
25,1310,123,
26,1512,141,
27,1723,69,
28,1329,141,
29,1317,107,
30,1796,150,
31,1813,384,
32,2863,275,
33,2898,163,
34,1480,145,
35,1419,152,
36,1410,143,
37,1372,135,
38,1413,148,
39,1366,135,
40,1613,122,
41,1257,115,
42,1402,144,
43,1384,137,
44,1432,150,
45,1303,98,
46,1370,135,
47,1385,142,
48,1463,144,
49,1407,156,
50,1384,141,
51,1347,99,
52,1413,177,
53,1363,152,
54,1420,133,
55,1369,152,
56,1373,129,
57,1388,136,
58,1379,132,
59,1350,140,
60,1345,133,
61,1359,133,
62,1365,137,
63,1366,118,
64,1519,131,
65,1389,145,
66,1430,144,
67,1380,134,
68,1386,139,
69,1480,140,
70,1318,112,
71,1361,195,
72,1452,142,
73,1387,142,
74,1473,152,
75,1496,131,
76,1406,154,
77,1371,146,
78,1323,130,
79,1399,147,
80,1360,125,
81,1482,216,
82,1390,133,
83,1352,131,
84,1424,139,
85,1290,130,
86,1377,141,
87,1338,135,
88,1407,130,
89,1318,134,
90,1464,143,
91,1424,133,
92,1379,139,
93,1347,153,
94,1362,129,
95,1424,136,
96,1363,117,
97,1364,97,
98,1312,122,
99,1171,74,
100,867,68,
